municipality,neighbourhood,origin,inhabitants
Amsterdam,Amstel III/Bullewijk,Afghanistan,9
Amsterdam,Amstel III/Bullewijk,Algerije,2
Amsterdam,Amstel III/Bullewijk,Angola,2
Amsterdam,Amstel III/Bullewijk,Argentinië,1
Amsterdam,Amstel III/Bullewijk,Australië,4
Amsterdam,Amstel III/Bullewijk,België,5
Amsterdam,Amstel III/Bullewijk,Brazilië,7
Amsterdam,Amstel III/Bullewijk,Bulgarije,1
Amsterdam,Amstel III/Bullewijk,Canada,3
Amsterdam,Amstel III/Bullewijk,China,3
Amsterdam,Amstel III/Bullewijk,Colombia,1
Amsterdam,Amstel III/Bullewijk,Congo (DR),1
Amsterdam,Amstel III/Bullewijk,Cuba,1
Amsterdam,Amstel III/Bullewijk,Denemarken,6
Amsterdam,Amstel III/Bullewijk,Dominicaanse Republiek,3
Amsterdam,Amstel III/Bullewijk,Duitsland,29
Amsterdam,Amstel III/Bullewijk,Ecuador,1
Amsterdam,Amstel III/Bullewijk,Egypte,4
Amsterdam,Amstel III/Bullewijk,El Salvador,1
Amsterdam,Amstel III/Bullewijk,Ethiopië,1
Amsterdam,Amstel III/Bullewijk,Filippijnen,1
Amsterdam,Amstel III/Bullewijk,Finland,2
Amsterdam,Amstel III/Bullewijk,Frankrijk,14
Amsterdam,Amstel III/Bullewijk,Ghana,7
Amsterdam,Amstel III/Bullewijk,Griekenland,2
Amsterdam,Amstel III/Bullewijk,Guatemala,1
Amsterdam,Amstel III/Bullewijk,Guyana,1
Amsterdam,Amstel III/Bullewijk,Ierland,4
Amsterdam,Amstel III/Bullewijk,India,28
Amsterdam,Amstel III/Bullewijk,Indonesië,14
Amsterdam,Amstel III/Bullewijk,Irak,10
Amsterdam,Amstel III/Bullewijk,Iran,2
Amsterdam,Amstel III/Bullewijk,Israël,1
Amsterdam,Amstel III/Bullewijk,Italië,11
Amsterdam,Amstel III/Bullewijk,Japan,2
Amsterdam,Amstel III/Bullewijk,Kenia,2
Amsterdam,Amstel III/Bullewijk,Libanon,1
Amsterdam,Amstel III/Bullewijk,Liberia,2
Amsterdam,Amstel III/Bullewijk,Marokko,38
Amsterdam,Amstel III/Bullewijk,Mexico,2
Amsterdam,Amstel III/Bullewijk,Ned. Antillen + Aruba,27
Amsterdam,Amstel III/Bullewijk,Nederland,276
Amsterdam,Amstel III/Bullewijk,Nieuw-Zeeland,1
Amsterdam,Amstel III/Bullewijk,Nigeria,1
Amsterdam,Amstel III/Bullewijk,Noorwegen,1
Amsterdam,Amstel III/Bullewijk,Pakistan,3
Amsterdam,Amstel III/Bullewijk,Polen,6
Amsterdam,Amstel III/Bullewijk,Portugal,1
Amsterdam,Amstel III/Bullewijk,Roemenië,3
Amsterdam,Amstel III/Bullewijk,Saoedi-Arabië,2
Amsterdam,Amstel III/Bullewijk,Singapore,1
Amsterdam,Amstel III/Bullewijk,Soedan,2
Amsterdam,Amstel III/Bullewijk,Somalië,1
Amsterdam,Amstel III/Bullewijk,Spanje,5
Amsterdam,Amstel III/Bullewijk,Sri Lanka,3
Amsterdam,Amstel III/Bullewijk,Suriname,57
Amsterdam,Amstel III/Bullewijk,Taiwan,1
Amsterdam,Amstel III/Bullewijk,Thailand,2
Amsterdam,Amstel III/Bullewijk,Turkije,26
Amsterdam,Amstel III/Bullewijk,Uganda,1
Amsterdam,Amstel III/Bullewijk,Venezuela,3
Amsterdam,Amstel III/Bullewijk,Ver. Staten v. Amerika,16
Amsterdam,Amstel III/Bullewijk,Verenigd Koninkrijk,15
Amsterdam,Amstel III/Bullewijk,Vietnam,2
Amsterdam,Amstel III/Bullewijk,Voorm. Tsjecho-Slowakije,3
Amsterdam,Amstel III/Bullewijk,Voormalig Joegoslavië,4
Amsterdam,Amstel III/Bullewijk,Voormalig Sovjet-Unie,11
Amsterdam,Amstel III/Bullewijk,Zambia,1
Amsterdam,Amstel III/Bullewijk,Zuid-Afrika,3
Amsterdam,Amstel III/Bullewijk,Zuid-Korea,2
Amsterdam,Amstel III/Bullewijk,Zweden,1
Amsterdam,Amstel III/Bullewijk,Zwitserland,2
Amsterdam,Apollobuurt,Afghanistan,3
Amsterdam,Apollobuurt,Albanië,2
Amsterdam,Apollobuurt,Algerije,1
Amsterdam,Apollobuurt,Angola,2
Amsterdam,Apollobuurt,Argentinië,14
Amsterdam,Apollobuurt,Australië,66
Amsterdam,Apollobuurt,België,102
Amsterdam,Apollobuurt,Brazilië,41
Amsterdam,Apollobuurt,Brunei,2
Amsterdam,Apollobuurt,Bulgarije,13
Amsterdam,Apollobuurt,Canada,48
Amsterdam,Apollobuurt,Chili,7
Amsterdam,Apollobuurt,China,37
Amsterdam,Apollobuurt,Colombia,15
Amsterdam,Apollobuurt,Congo,3
Amsterdam,Apollobuurt,Congo (DR),3
Amsterdam,Apollobuurt,Costa Rica,1
Amsterdam,Apollobuurt,Cyprus,5
Amsterdam,Apollobuurt,Denemarken,30
Amsterdam,Apollobuurt,Dominicaanse Republiek,6
Amsterdam,Apollobuurt,Duitsland,305
Amsterdam,Apollobuurt,Ecuador,7
Amsterdam,Apollobuurt,Egypte,13
Amsterdam,Apollobuurt,Eritrea,6
Amsterdam,Apollobuurt,Ethiopië,2
Amsterdam,Apollobuurt,Filippijnen,34
Amsterdam,Apollobuurt,Finland,13
Amsterdam,Apollobuurt,Frankrijk,225
Amsterdam,Apollobuurt,Ghana,8
Amsterdam,Apollobuurt,Gibraltar,3
Amsterdam,Apollobuurt,Grenada,1
Amsterdam,Apollobuurt,Griekenland,12
Amsterdam,Apollobuurt,Guatemala,5
Amsterdam,Apollobuurt,Guyana,1
Amsterdam,Apollobuurt,Haïti,2
Amsterdam,Apollobuurt,Hongarije,16
Amsterdam,Apollobuurt,Hongkong,10
Amsterdam,Apollobuurt,Ierland,33
Amsterdam,Apollobuurt,IJsland,3
Amsterdam,Apollobuurt,India,67
Amsterdam,Apollobuurt,Indonesië,342
Amsterdam,Apollobuurt,Irak,11
Amsterdam,Apollobuurt,Iran,21
Amsterdam,Apollobuurt,Israël,32
Amsterdam,Apollobuurt,Italië,123
Amsterdam,Apollobuurt,Ivoorkust,2
Amsterdam,Apollobuurt,Jamaica,2
Amsterdam,Apollobuurt,Japan,33
Amsterdam,Apollobuurt,Kaapverdië,1
Amsterdam,Apollobuurt,Kameroen,2
Amsterdam,Apollobuurt,Kanaaleilanden,1
Amsterdam,Apollobuurt,Kenia,15
Amsterdam,Apollobuurt,Laos,3
Amsterdam,Apollobuurt,Libanon,7
Amsterdam,Apollobuurt,Libië,2
Amsterdam,Apollobuurt,Malawi,7
Amsterdam,Apollobuurt,Maleisië,11
Amsterdam,Apollobuurt,Marokko,21
Amsterdam,Apollobuurt,Mauritius,1
Amsterdam,Apollobuurt,Mexico,12
Amsterdam,Apollobuurt,Monaco,2
Amsterdam,Apollobuurt,Ned. Antillen + Aruba,49
Amsterdam,Apollobuurt,Nederland,5161
Amsterdam,Apollobuurt,Nepal,1
Amsterdam,Apollobuurt,Nicaragua,1
Amsterdam,Apollobuurt,Nieuw-Zeeland,12
Amsterdam,Apollobuurt,Nigeria,8
Amsterdam,Apollobuurt,Noorwegen,4
Amsterdam,Apollobuurt,Oostenrijk,15
Amsterdam,Apollobuurt,Pakistan,5
Amsterdam,Apollobuurt,Peru,3
Amsterdam,Apollobuurt,Polen,48
Amsterdam,Apollobuurt,Portugal,30
Amsterdam,Apollobuurt,Puerto Rico,2
Amsterdam,Apollobuurt,Roemenië,20
Amsterdam,Apollobuurt,Saoedi-Arabië,7
Amsterdam,Apollobuurt,Senegal,3
Amsterdam,Apollobuurt,Singapore,20
Amsterdam,Apollobuurt,Soedan,1
Amsterdam,Apollobuurt,Spanje,102
Amsterdam,Apollobuurt,Sri Lanka,1
Amsterdam,Apollobuurt,Suriname,92
Amsterdam,Apollobuurt,Syrië,2
Amsterdam,Apollobuurt,Taiwan,11
Amsterdam,Apollobuurt,Tanzania,7
Amsterdam,Apollobuurt,Thailand,9
Amsterdam,Apollobuurt,Tunesië,1
Amsterdam,Apollobuurt,Turkije,88
Amsterdam,Apollobuurt,Uganda,1
Amsterdam,Apollobuurt,Uruguay,4
Amsterdam,Apollobuurt,Vanuatu,1
Amsterdam,Apollobuurt,Venezuela,8
Amsterdam,Apollobuurt,Ver. Arabische Emiraten,6
Amsterdam,Apollobuurt,Ver. Staten v. Amerika,361
Amsterdam,Apollobuurt,Verenigd Koninkrijk,329
Amsterdam,Apollobuurt,Vietnam,8
Amsterdam,Apollobuurt,Voorm. Tsjecho-Slowakije,26
Amsterdam,Apollobuurt,Voormalig Joegoslavië,49
Amsterdam,Apollobuurt,Voormalig Sovjet-Unie,186
Amsterdam,Apollobuurt,Zambia,4
Amsterdam,Apollobuurt,Zimbabwe,2
Amsterdam,Apollobuurt,Zuid-Afrika,57
Amsterdam,Apollobuurt,Zuid-Korea,13
Amsterdam,Apollobuurt,Zweden,28
Amsterdam,Apollobuurt,Zwitserland,37
Amsterdam,Banne Buiksloot,Afghanistan,249
Amsterdam,Banne Buiksloot,Albanië,3
Amsterdam,Banne Buiksloot,Algerije,28
Amsterdam,Banne Buiksloot,Angola,6
Amsterdam,Banne Buiksloot,Argentinië,7
Amsterdam,Banne Buiksloot,Australië,11
Amsterdam,Banne Buiksloot,Bangladesh,1
Amsterdam,Banne Buiksloot,België,68
Amsterdam,Banne Buiksloot,Bolivia,3
Amsterdam,Banne Buiksloot,Brazilië,32
Amsterdam,Banne Buiksloot,Bulgarije,78
Amsterdam,Banne Buiksloot,Burkina Faso,1
Amsterdam,Banne Buiksloot,Burundi,4
Amsterdam,Banne Buiksloot,Canada,12
Amsterdam,Banne Buiksloot,Chili,8
Amsterdam,Banne Buiksloot,China,138
Amsterdam,Banne Buiksloot,Colombia,35
Amsterdam,Banne Buiksloot,Congo,1
Amsterdam,Banne Buiksloot,Congo (DR),11
Amsterdam,Banne Buiksloot,Cuba,1
Amsterdam,Banne Buiksloot,Cyprus,1
Amsterdam,Banne Buiksloot,Denemarken,1
Amsterdam,Banne Buiksloot,Dominica,1
Amsterdam,Banne Buiksloot,Dominicaanse Republiek,24
Amsterdam,Banne Buiksloot,Duitsland,248
Amsterdam,Banne Buiksloot,Ecuador,17
Amsterdam,Banne Buiksloot,Egypte,346
Amsterdam,Banne Buiksloot,El Salvador,1
Amsterdam,Banne Buiksloot,Eritrea,20
Amsterdam,Banne Buiksloot,Ethiopië,114
Amsterdam,Banne Buiksloot,Filippijnen,57
Amsterdam,Banne Buiksloot,Finland,5
Amsterdam,Banne Buiksloot,Frankrijk,62
Amsterdam,Banne Buiksloot,Frans Guyana,2
Amsterdam,Banne Buiksloot,Gambia,4
Amsterdam,Banne Buiksloot,Ghana,225
Amsterdam,Banne Buiksloot,Griekenland,15
Amsterdam,Banne Buiksloot,Guinee,8
Amsterdam,Banne Buiksloot,Guyana,23
Amsterdam,Banne Buiksloot,Haïti,1
Amsterdam,Banne Buiksloot,Hongarije,28
Amsterdam,Banne Buiksloot,Hongkong,88
Amsterdam,Banne Buiksloot,Ierland,17
Amsterdam,Banne Buiksloot,IJsland,4
Amsterdam,Banne Buiksloot,India,65
Amsterdam,Banne Buiksloot,Indonesië,275
Amsterdam,Banne Buiksloot,Irak,147
Amsterdam,Banne Buiksloot,Iran,78
Amsterdam,Banne Buiksloot,Israël,8
Amsterdam,Banne Buiksloot,Italië,111
Amsterdam,Banne Buiksloot,Jamaica,3
Amsterdam,Banne Buiksloot,Japan,9
Amsterdam,Banne Buiksloot,Jordanië,6
Amsterdam,Banne Buiksloot,Kaapverdië,7
Amsterdam,Banne Buiksloot,Kameroen,8
Amsterdam,Banne Buiksloot,Koeweit,4
Amsterdam,Banne Buiksloot,Libanon,9
Amsterdam,Banne Buiksloot,Liberia,12
Amsterdam,Banne Buiksloot,Libië,7
Amsterdam,Banne Buiksloot,Malawi,1
Amsterdam,Banne Buiksloot,Maleisië,10
Amsterdam,Banne Buiksloot,Marokko,1980
Amsterdam,Banne Buiksloot,Mexico,6
Amsterdam,Banne Buiksloot,Mozambique,1
Amsterdam,Banne Buiksloot,Myanmar,1
Amsterdam,Banne Buiksloot,Ned. Antillen + Aruba,201
Amsterdam,Banne Buiksloot,Nederland,5483
Amsterdam,Banne Buiksloot,Nepal,30
Amsterdam,Banne Buiksloot,Nicaragua,2
Amsterdam,Banne Buiksloot,Nieuw-Zeeland,3
Amsterdam,Banne Buiksloot,Nigeria,19
Amsterdam,Banne Buiksloot,Noorwegen,1
Amsterdam,Banne Buiksloot,Oostenrijk,15
Amsterdam,Banne Buiksloot,Pakistan,88
Amsterdam,Banne Buiksloot,Panama,1
Amsterdam,Banne Buiksloot,Paraguay,3
Amsterdam,Banne Buiksloot,Peru,8
Amsterdam,Banne Buiksloot,Polen,77
Amsterdam,Banne Buiksloot,Portugal,28
Amsterdam,Banne Buiksloot,Roemenië,48
Amsterdam,Banne Buiksloot,Rwanda,4
Amsterdam,Banne Buiksloot,Saoedi-Arabië,1
Amsterdam,Banne Buiksloot,Senegal,5
Amsterdam,Banne Buiksloot,Sierra Leone,10
Amsterdam,Banne Buiksloot,Singapore,5
Amsterdam,Banne Buiksloot,Sint Lucia,1
Amsterdam,Banne Buiksloot,Soedan,23
Amsterdam,Banne Buiksloot,Somalië,59
Amsterdam,Banne Buiksloot,Spanje,57
Amsterdam,Banne Buiksloot,Sri Lanka,5
Amsterdam,Banne Buiksloot,Suriname,1230
Amsterdam,Banne Buiksloot,Syrië,80
Amsterdam,Banne Buiksloot,Taiwan,1
Amsterdam,Banne Buiksloot,Thailand,18
Amsterdam,Banne Buiksloot,Togo,7
Amsterdam,Banne Buiksloot,Trinidad en Tobago,4
Amsterdam,Banne Buiksloot,Tunesië,29
Amsterdam,Banne Buiksloot,Turkije,1587
Amsterdam,Banne Buiksloot,Uganda,6
Amsterdam,Banne Buiksloot,Uruguay,1
Amsterdam,Banne Buiksloot,Venezuela,3
Amsterdam,Banne Buiksloot,Ver. Arabische Emiraten,1
Amsterdam,Banne Buiksloot,Ver. Staten v. Amerika,31
Amsterdam,Banne Buiksloot,Verenigd Koninkrijk,74
Amsterdam,Banne Buiksloot,Vietnam,6
Amsterdam,Banne Buiksloot,Voorm. Tsjecho-Slowakije,28
Amsterdam,Banne Buiksloot,Voormalig Joegoslavië,118
Amsterdam,Banne Buiksloot,Voormalig Sovjet-Unie,111
Amsterdam,Banne Buiksloot,Zambia,1
Amsterdam,Banne Buiksloot,Zuid-Afrika,6
Amsterdam,Banne Buiksloot,Zuid-Korea,4
Amsterdam,Banne Buiksloot,Zweden,13
Amsterdam,Banne Buiksloot,Zwitserland,10
Amsterdam,Bedrijventerrein Sloterdijk,Afghanistan,6
Amsterdam,Bedrijventerrein Sloterdijk,Australië,6
Amsterdam,Bedrijventerrein Sloterdijk,Bangladesh,1
Amsterdam,Bedrijventerrein Sloterdijk,België,3
Amsterdam,Bedrijventerrein Sloterdijk,Brazilië,7
Amsterdam,Bedrijventerrein Sloterdijk,Bulgarije,3
Amsterdam,Bedrijventerrein Sloterdijk,Canada,1
Amsterdam,Bedrijventerrein Sloterdijk,Chili,1
Amsterdam,Bedrijventerrein Sloterdijk,China,3
Amsterdam,Bedrijventerrein Sloterdijk,Colombia,2
Amsterdam,Bedrijventerrein Sloterdijk,Congo (DR),2
Amsterdam,Bedrijventerrein Sloterdijk,Cyprus,1
Amsterdam,Bedrijventerrein Sloterdijk,Denemarken,20
Amsterdam,Bedrijventerrein Sloterdijk,Dominicaanse Republiek,1
Amsterdam,Bedrijventerrein Sloterdijk,Duitsland,30
Amsterdam,Bedrijventerrein Sloterdijk,Egypte,3
Amsterdam,Bedrijventerrein Sloterdijk,Eritrea,7
Amsterdam,Bedrijventerrein Sloterdijk,Ethiopië,3
Amsterdam,Bedrijventerrein Sloterdijk,Filippijnen,1
Amsterdam,Bedrijventerrein Sloterdijk,Finland,3
Amsterdam,Bedrijventerrein Sloterdijk,Frankrijk,10
Amsterdam,Bedrijventerrein Sloterdijk,Ghana,1
Amsterdam,Bedrijventerrein Sloterdijk,Griekenland,2
Amsterdam,Bedrijventerrein Sloterdijk,Guadeloupe,1
Amsterdam,Bedrijventerrein Sloterdijk,Ierland,3
Amsterdam,Bedrijventerrein Sloterdijk,India,12
Amsterdam,Bedrijventerrein Sloterdijk,Indonesië,4
Amsterdam,Bedrijventerrein Sloterdijk,Irak,9
Amsterdam,Bedrijventerrein Sloterdijk,Iran,6
Amsterdam,Bedrijventerrein Sloterdijk,Italië,8
Amsterdam,Bedrijventerrein Sloterdijk,Jemen,2
Amsterdam,Bedrijventerrein Sloterdijk,Jordanië,1
Amsterdam,Bedrijventerrein Sloterdijk,Kameroen,1
Amsterdam,Bedrijventerrein Sloterdijk,Liberia,1
Amsterdam,Bedrijventerrein Sloterdijk,Luxemburg,1
Amsterdam,Bedrijventerrein Sloterdijk,Marokko,21
Amsterdam,Bedrijventerrein Sloterdijk,Ned. Antillen + Aruba,9
Amsterdam,Bedrijventerrein Sloterdijk,Nederland,156
Amsterdam,Bedrijventerrein Sloterdijk,Nieuw-Zeeland,3
Amsterdam,Bedrijventerrein Sloterdijk,Noorwegen,6
Amsterdam,Bedrijventerrein Sloterdijk,Oostenrijk,4
Amsterdam,Bedrijventerrein Sloterdijk,Pakistan,6
Amsterdam,Bedrijventerrein Sloterdijk,Peru,3
Amsterdam,Bedrijventerrein Sloterdijk,Polen,11
Amsterdam,Bedrijventerrein Sloterdijk,Portugal,3
Amsterdam,Bedrijventerrein Sloterdijk,Roemenië,7
Amsterdam,Bedrijventerrein Sloterdijk,Saoedi-Arabië,1
Amsterdam,Bedrijventerrein Sloterdijk,Sierra Leone,2
Amsterdam,Bedrijventerrein Sloterdijk,Singapore,2
Amsterdam,Bedrijventerrein Sloterdijk,Soedan,1
Amsterdam,Bedrijventerrein Sloterdijk,Somalië,3
Amsterdam,Bedrijventerrein Sloterdijk,Spanje,8
Amsterdam,Bedrijventerrein Sloterdijk,Suriname,22
Amsterdam,Bedrijventerrein Sloterdijk,Syrië,20
Amsterdam,Bedrijventerrein Sloterdijk,Taiwan,1
Amsterdam,Bedrijventerrein Sloterdijk,Tunesië,1
Amsterdam,Bedrijventerrein Sloterdijk,Turkije,10
Amsterdam,Bedrijventerrein Sloterdijk,Uganda,1
Amsterdam,Bedrijventerrein Sloterdijk,Ver. Staten v. Amerika,5
Amsterdam,Bedrijventerrein Sloterdijk,Verenigd Koninkrijk,24
Amsterdam,Bedrijventerrein Sloterdijk,Vietnam,2
Amsterdam,Bedrijventerrein Sloterdijk,Voorm. Tsjecho-Slowakije,1
Amsterdam,Bedrijventerrein Sloterdijk,Voormalig Joegoslavië,3
Amsterdam,Bedrijventerrein Sloterdijk,Voormalig Sovjet-Unie,6
Amsterdam,Bedrijventerrein Sloterdijk,Zambia,1
Amsterdam,Bedrijventerrein Sloterdijk,Zuid-Afrika,1
Amsterdam,Bedrijventerrein Sloterdijk,Zuid-Korea,3
Amsterdam,Bedrijventerrein Sloterdijk,Zweden,13
Amsterdam,Betondorp,Afghanistan,1
Amsterdam,Betondorp,Albanië,3
Amsterdam,Betondorp,Algerije,2
Amsterdam,Betondorp,Australië,7
Amsterdam,Betondorp,België,15
Amsterdam,Betondorp,Bolivia,1
Amsterdam,Betondorp,Brazilië,15
Amsterdam,Betondorp,Bulgarije,1
Amsterdam,Betondorp,Canada,2
Amsterdam,Betondorp,Chili,4
Amsterdam,Betondorp,China,17
Amsterdam,Betondorp,Colombia,18
Amsterdam,Betondorp,Congo (DR),1
Amsterdam,Betondorp,Cuba,2
Amsterdam,Betondorp,Denemarken,1
Amsterdam,Betondorp,Dominicaanse Republiek,13
Amsterdam,Betondorp,Duitsland,97
Amsterdam,Betondorp,Ecuador,2
Amsterdam,Betondorp,Egypte,23
Amsterdam,Betondorp,El Salvador,1
Amsterdam,Betondorp,Eritrea,3
Amsterdam,Betondorp,Ethiopië,20
Amsterdam,Betondorp,Filippijnen,14
Amsterdam,Betondorp,Finland,2
Amsterdam,Betondorp,Frankrijk,8
Amsterdam,Betondorp,Ghana,31
Amsterdam,Betondorp,Griekenland,8
Amsterdam,Betondorp,Guinee,2
Amsterdam,Betondorp,Guyana,1
Amsterdam,Betondorp,Hongarije,2
Amsterdam,Betondorp,Hongkong,2
Amsterdam,Betondorp,Ierland,4
Amsterdam,Betondorp,India,8
Amsterdam,Betondorp,Indonesië,101
Amsterdam,Betondorp,Irak,6
Amsterdam,Betondorp,Iran,15
Amsterdam,Betondorp,Israël,1
Amsterdam,Betondorp,Italië,28
Amsterdam,Betondorp,Jamaica,1
Amsterdam,Betondorp,Japan,1
Amsterdam,Betondorp,Jordanië,1
Amsterdam,Betondorp,Kaapverdië,2
Amsterdam,Betondorp,Katar,1
Amsterdam,Betondorp,Koeweit,1
Amsterdam,Betondorp,Libanon,5
Amsterdam,Betondorp,Liberia,2
Amsterdam,Betondorp,Libië,3
Amsterdam,Betondorp,Maleisië,2
Amsterdam,Betondorp,Marokko,208
Amsterdam,Betondorp,Mexico,4
Amsterdam,Betondorp,Mozambique,2
Amsterdam,Betondorp,Myanmar,2
Amsterdam,Betondorp,Ned. Antillen + Aruba,23
Amsterdam,Betondorp,Nederland,2006
Amsterdam,Betondorp,Nigeria,9
Amsterdam,Betondorp,Oostenrijk,4
Amsterdam,Betondorp,Pakistan,15
Amsterdam,Betondorp,Peru,4
Amsterdam,Betondorp,Polen,12
Amsterdam,Betondorp,Portugal,15
Amsterdam,Betondorp,Puerto Rico,1
Amsterdam,Betondorp,Roemenië,1
Amsterdam,Betondorp,Saoedi-Arabië,1
Amsterdam,Betondorp,Senegal,4
Amsterdam,Betondorp,Sierra Leone,1
Amsterdam,Betondorp,Soedan,3
Amsterdam,Betondorp,Somalië,9
Amsterdam,Betondorp,Spanje,11
Amsterdam,Betondorp,Sri Lanka,3
Amsterdam,Betondorp,Suriname,223
Amsterdam,Betondorp,Syrië,38
Amsterdam,Betondorp,Thailand,3
Amsterdam,Betondorp,Tunesië,2
Amsterdam,Betondorp,Turkije,54
Amsterdam,Betondorp,Uganda,2
Amsterdam,Betondorp,Venezuela,5
Amsterdam,Betondorp,Ver. Staten v. Amerika,12
Amsterdam,Betondorp,Verenigd Koninkrijk,25
Amsterdam,Betondorp,Voorm. Tsjecho-Slowakije,10
Amsterdam,Betondorp,Voormalig Joegoslavië,17
Amsterdam,Betondorp,Voormalig Sovjet-Unie,16
Amsterdam,Betondorp,Zimbabwe,1
Amsterdam,Betondorp,Zuid-Afrika,3
Amsterdam,Betondorp,Zuid-Korea,1
Amsterdam,Betondorp,Zwitserland,1
Amsterdam,"Bijlmer Centrum (D,F,H)",Afghanistan,181
Amsterdam,"Bijlmer Centrum (D,F,H)",Albanië,6
Amsterdam,"Bijlmer Centrum (D,F,H)",Algerije,15
Amsterdam,"Bijlmer Centrum (D,F,H)",Angola,39
Amsterdam,"Bijlmer Centrum (D,F,H)",Argentinië,16
Amsterdam,"Bijlmer Centrum (D,F,H)",Australië,21
Amsterdam,"Bijlmer Centrum (D,F,H)",Bahama's,1
Amsterdam,"Bijlmer Centrum (D,F,H)",Bangladesh,30
Amsterdam,"Bijlmer Centrum (D,F,H)",Barbados,1
Amsterdam,"Bijlmer Centrum (D,F,H)",België,92
Amsterdam,"Bijlmer Centrum (D,F,H)",Belize,2
Amsterdam,"Bijlmer Centrum (D,F,H)",Benin,8
Amsterdam,"Bijlmer Centrum (D,F,H)",Bolivia,19
Amsterdam,"Bijlmer Centrum (D,F,H)",Botswana,1
Amsterdam,"Bijlmer Centrum (D,F,H)",Brazilië,99
Amsterdam,"Bijlmer Centrum (D,F,H)",Bulgarije,100
Amsterdam,"Bijlmer Centrum (D,F,H)",Burkina Faso,25
Amsterdam,"Bijlmer Centrum (D,F,H)",Burundi,8
Amsterdam,"Bijlmer Centrum (D,F,H)",Canada,40
Amsterdam,"Bijlmer Centrum (D,F,H)",Centraal-Afrikaanse Rep.,5
Amsterdam,"Bijlmer Centrum (D,F,H)",Chili,21
Amsterdam,"Bijlmer Centrum (D,F,H)",China,326
Amsterdam,"Bijlmer Centrum (D,F,H)",Colombia,108
Amsterdam,"Bijlmer Centrum (D,F,H)",Comoren,2
Amsterdam,"Bijlmer Centrum (D,F,H)",Congo,6
Amsterdam,"Bijlmer Centrum (D,F,H)",Congo (DR),35
Amsterdam,"Bijlmer Centrum (D,F,H)",Costa Rica,4
Amsterdam,"Bijlmer Centrum (D,F,H)",Cuba,10
Amsterdam,"Bijlmer Centrum (D,F,H)",Cyprus,4
Amsterdam,"Bijlmer Centrum (D,F,H)",Denemarken,11
Amsterdam,"Bijlmer Centrum (D,F,H)",Dominicaanse Republiek,431
Amsterdam,"Bijlmer Centrum (D,F,H)",Duitsland,328
Amsterdam,"Bijlmer Centrum (D,F,H)",Ecuador,79
Amsterdam,"Bijlmer Centrum (D,F,H)",Egypte,100
Amsterdam,"Bijlmer Centrum (D,F,H)",El Salvador,4
Amsterdam,"Bijlmer Centrum (D,F,H)",Equatoriaal-Guinea,1
Amsterdam,"Bijlmer Centrum (D,F,H)",Eritrea,54
Amsterdam,"Bijlmer Centrum (D,F,H)",Ethiopië,122
Amsterdam,"Bijlmer Centrum (D,F,H)",Filippijnen,84
Amsterdam,"Bijlmer Centrum (D,F,H)",Finland,20
Amsterdam,"Bijlmer Centrum (D,F,H)",Frankrijk,128
Amsterdam,"Bijlmer Centrum (D,F,H)",Frans Guyana,25
Amsterdam,"Bijlmer Centrum (D,F,H)",Gambia,11
Amsterdam,"Bijlmer Centrum (D,F,H)",Ghana,2806
Amsterdam,"Bijlmer Centrum (D,F,H)",Gibraltar,1
Amsterdam,"Bijlmer Centrum (D,F,H)",Griekenland,60
Amsterdam,"Bijlmer Centrum (D,F,H)",Guadeloupe,4
Amsterdam,"Bijlmer Centrum (D,F,H)",Guatemala,2
Amsterdam,"Bijlmer Centrum (D,F,H)",Guinee,25
Amsterdam,"Bijlmer Centrum (D,F,H)",Guinee-Bissau,4
Amsterdam,"Bijlmer Centrum (D,F,H)",Guyana,92
Amsterdam,"Bijlmer Centrum (D,F,H)",Haïti,5
Amsterdam,"Bijlmer Centrum (D,F,H)",Honduras,4
Amsterdam,"Bijlmer Centrum (D,F,H)",Hongarije,72
Amsterdam,"Bijlmer Centrum (D,F,H)",Hongkong,66
Amsterdam,"Bijlmer Centrum (D,F,H)",Ierland,12
Amsterdam,"Bijlmer Centrum (D,F,H)",IJsland,1
Amsterdam,"Bijlmer Centrum (D,F,H)",India,397
Amsterdam,"Bijlmer Centrum (D,F,H)",Indonesië,379
Amsterdam,"Bijlmer Centrum (D,F,H)",Irak,82
Amsterdam,"Bijlmer Centrum (D,F,H)",Iran,85
Amsterdam,"Bijlmer Centrum (D,F,H)",Israël,26
Amsterdam,"Bijlmer Centrum (D,F,H)",Italië,156
Amsterdam,"Bijlmer Centrum (D,F,H)",Ivoorkust,25
Amsterdam,"Bijlmer Centrum (D,F,H)",Jamaica,19
Amsterdam,"Bijlmer Centrum (D,F,H)",Japan,23
Amsterdam,"Bijlmer Centrum (D,F,H)",Jemen,2
Amsterdam,"Bijlmer Centrum (D,F,H)",Jordanië,12
Amsterdam,"Bijlmer Centrum (D,F,H)",Kaapverdië,37
Amsterdam,"Bijlmer Centrum (D,F,H)",Kameroen,40
Amsterdam,"Bijlmer Centrum (D,F,H)",Katar,3
Amsterdam,"Bijlmer Centrum (D,F,H)",Kenia,12
Amsterdam,"Bijlmer Centrum (D,F,H)",Koeweit,2
Amsterdam,"Bijlmer Centrum (D,F,H)",Libanon,11
Amsterdam,"Bijlmer Centrum (D,F,H)",Liberia,48
Amsterdam,"Bijlmer Centrum (D,F,H)",Libië,3
